blendshape_node,target_name,target_index,shape_classification,driving_method,immediate_driver_node,immediate_driver_attr,immediate_driver_type,ultimate_controller_attrs,details,current_weight
asFaceBS,brow_innerlower_L,7,primary,setDrivenKey,asFaceBS_brow_innerlower_L,asFaceBS_brow_innerlower_L.output,animCurveUU,ctrlBrow_L.translateX,"SDK input: ctrlBrow_L.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,rrr_M,80,primary,setDrivenKey,asFaceBS_rrr_M,asFaceBS_rrr_M.output,animCurveUU,ctrlPhonemes_M.rrr,"SDK input: ctrlPhonemes_M.rrr | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,www_M,81,primary,setDrivenKey,asFaceBS_www_M,asFaceBS_www_M.output,animCurveUU,ctrlPhonemes_M.www,"SDK input: ctrlPhonemes_M.www | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,sss_M,82,primary,setDrivenKey,asFaceBS_sss_M,asFaceBS_sss_M.output,animCurveUU,ctrlPhonemes_M.sss,"SDK input: ctrlPhonemes_M.sss | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,fff_M,83,primary,setDrivenKey,asFaceBS_fff_M,asFaceBS_fff_M.output,animCurveUU,ctrlPhonemes_M.fff,"SDK input: ctrlPhonemes_M.fff | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,tth_M,84,primary,setDrivenKey,asFaceBS_tth_M,asFaceBS_tth_M.output,animCurveUU,ctrlPhonemes_M.tth,"SDK input: ctrlPhonemes_M.tth | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,mbp_M,85,primary,setDrivenKey,asFaceBS_mbp_M,asFaceBS_mbp_M.output,animCurveUU,ctrlPhonemes_M.mbp,"SDK input: ctrlPhonemes_M.mbp | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,ssh_M,86,primary,setDrivenKey,asFaceBS_ssh_M,asFaceBS_ssh_M.output,animCurveUU,ctrlPhonemes_M.ssh,"SDK input: ctrlPhonemes_M.ssh | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,schwa_M,87,primary,setDrivenKey,asFaceBS_schwa_M,asFaceBS_schwa_M.output,animCurveUU,ctrlPhonemes_M.schwa,"SDK input: ctrlPhonemes_M.schwa | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,gk_M,88,primary,setDrivenKey,asFaceBS_gk_M,asFaceBS_gk_M.output,animCurveUU,ctrlPhonemes_M.gk,"SDK input: ctrlPhonemes_M.gk | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,lntd_M,89,primary,setDrivenKey,asFaceBS_lntd_M,asFaceBS_lntd_M.output,animCurveUU,ctrlPhonemes_M.lntd,"SDK input: ctrlPhonemes_M.lntd | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,brow_raiser_L,8,primary,setDrivenKey,asFaceBS_brow_raiser_L,asFaceBS_brow_raiser_L.output,animCurveUU,ctrlBrow_L.translateY,"SDK input: ctrlBrow_L.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,happy_M,90,primary,setDrivenKey,asFaceBS_happy_M,asFaceBS_happy_M.output,animCurveUU,ctrlEmotions_M.happy,"SDK input: ctrlEmotions_M.happy | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,angry_M,91,primary,setDrivenKey,asFaceBS_angry_M,asFaceBS_angry_M.output,animCurveUU,ctrlEmotions_M.angry,"SDK input: ctrlEmotions_M.angry | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,sad_M,92,primary,setDrivenKey,asFaceBS_sad_M,asFaceBS_sad_M.output,animCurveUU,ctrlEmotions_M.sad,"SDK input: ctrlEmotions_M.sad | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,surprise_M,93,primary,setDrivenKey,asFaceBS_surprise_M,asFaceBS_surprise_M.output,animCurveUU,ctrlEmotions_M.surprise,"SDK input: ctrlEmotions_M.surprise | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,fear_M,94,primary,setDrivenKey,asFaceBS_fear_M,asFaceBS_fear_M.output,animCurveUU,ctrlEmotions_M.fear,"SDK input: ctrlEmotions_M.fear | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,disgust_M,95,primary,setDrivenKey,asFaceBS_disgust_M,asFaceBS_disgust_M.output,animCurveUU,ctrlEmotions_M.disgust,"SDK input: ctrlEmotions_M.disgust | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,contempt_M,96,primary,setDrivenKey,asFaceBS_contempt_M,asFaceBS_contempt_M.output,animCurveUU,ctrlEmotions_M.contempt,"SDK input: ctrlEmotions_M.contempt | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,brow_lower_L,9,primary,setDrivenKey,asFaceBS_brow_lower_L,asFaceBS_brow_lower_L.output,animCurveUU,ctrlBrow_L.translateY,"SDK input: ctrlBrow_L.translateY | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
